            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
            0.416          0.02125                0          23560.2          39820.6          667.592
            0.416           0.0225                0          9424.08          15928.2          267.036
            0.416          0.02375                0                0                0                0
            0.416            0.025                0                0                0                0
            0.416          0.02625                0                0                0                0
            0.416           0.0275                0         -6118.19           134434          93.7895
            0.416          0.02875                0         -15295.5           336086          234.474
            0.416             0.03                0         -24472.8           537738          375.158
            0.307                0                0     -2.99962e+06       4.6799e-08     -5.20036e-07
            0.307         0.000625                0     -2.98676e+06          183.096         -420.444
            0.307          0.00125                0     -2.97389e+06          366.195         -840.886
            0.307         0.001875                0     -2.96103e+06          549.291         -1261.33
            0.307           0.0025                0     -2.94816e+06          732.388         -1681.77
            0.307         0.003125                0     -2.89475e+06          30937.8         -2200.34
            0.307          0.00375                0     -2.82335e+06            74465         -2762.45
            0.307         0.004375                0     -2.75195e+06           117992         -3324.56
            0.307            0.005                0     -2.68055e+06           161519         -3886.67
         0.317717                0                0     -3.73223e+06          4828.85         -8635.79
         0.317717      0.000709462                0     -3.72775e+06          31781.3         -11037.8
         0.317717       0.00141892                0     -3.72728e+06          51872.1         -15984.7
         0.317717       0.00212839                0     -3.73343e+06          64939.6         -22396.7
         0.317717       0.00283785                0     -3.75061e+06          82100.3         -21179.6
         0.317717       0.00354731                0     -3.76779e+06          99260.9         -19962.6
         0.317717       0.00425677                0      -3.7851e+06           129383         -10921.1
         0.317717       0.00496623                0     -3.80244e+06           161639         -591.109
         0.317717        0.0056757                0     -3.81621e+06           193044          7825.03
         0.328434                0                0     -4.09876e+06           2883.2         -8835.95
         0.328434      0.000793924                0     -4.09658e+06         -709.445         -8041.38
         0.328434       0.00158785                0     -4.09439e+06         -4302.09         -7246.82
         0.328434       0.00238177                0     -4.09221e+06         -7894.74         -6452.25
         0.328434        0.0031757                0     -4.09003e+06         -11487.4         -5657.68
         0.328434       0.00396962                0     -4.08784e+06           -15080         -4863.12
         0.328434       0.00476354                0     -4.08991e+06         -14944.3         -4659.78
         0.328434       0.00555747                0     -4.10536e+06         -6584.57         -4222.08
